candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
rm_spherical_shoulder_q00_rear_left,rm_spherical_shoulder,0,baseline,rear_left,0.0,290.0,390.0,0.0,,1.0,1.0,,0,7,0,0.09333333333333334,27,3,True,8,9,0.00666666666666671,0.4355242739036993,77.44899595800052
rm_spherical_shoulder_q00_rear_center,rm_spherical_shoulder,0,baseline,rear_center,0.0,290.0,390.0,0.0,,1.0,1.0,,0,15,3,0.23703703703703702,35,5,True,8,9,4.199339922326267e-05,0.3040975419502958,78.83411538899963
rm_spherical_shoulder_q00_rear_right,rm_spherical_shoulder,0,baseline,rear_right,0.0,290.0,390.0,0.0,,1.0,1.0,,0,7,1,0.10567901234567902,31,4,False,2,9,0.00666666666666671,0.00444333283464049,73.08837174099972
rm_spherical_shoulder_q00_mid_left,rm_spherical_shoulder,0,baseline,mid_left,0.0,290.0,390.0,0.0,,1.0,1.0,,0,14,0,0.18666666666666668,21,3,False,0,9,0.0480321799211085,0.9272750539328017,88.2271979039997
rm_spherical_shoulder_q01_rear_left,rm_spherical_shoulder,1,sobol,rear_left,0.0,260.9183107195422,433.16841759067023,0.0,,0.8997183128260076,1.1106882502324877,,0,8,0,0.10666666666666667,32,3,True,8,9,0.00666666666666671,0.0966972219918012,73.03144141400116
rm_spherical_shoulder_q01_rear_center,rm_spherical_shoulder,1,sobol,rear_center,0.0,260.9183107195422,433.16841759067023,0.0,,0.8997183128260076,1.1106882502324877,,0,13,3,0.2103703703703704,39,5,True,8,9,0.00013880611338708965,0.4334932522756132,66.5940251789998
rm_spherical_shoulder_q01_rear_right,rm_spherical_shoulder,1,sobol,rear_right,0.0,260.9183107195422,433.16841759067023,0.0,,0.8997183128260076,1.1106882502324877,,0,7,0,0.09333333333333334,35,5,False,2,9,0.00666666666666671,9.15267861500979e-13,75.49824171399996
rm_spherical_shoulder_q01_mid_left,rm_spherical_shoulder,1,sobol,mid_left,0.0,260.9183107195422,433.16841759067023,0.0,,0.8997183128260076,1.1106882502324877,,0,16,0,0.21333333333333335,22,3,False,1,9,0.00666666666666671,0.9131337215461287,88.5711685719998
rm_spherical_shoulder_q02_rear_left,rm_spherical_shoulder,2,sobol,rear_left,0.0,320.85170789342374,385.5946764629334,0.0,,1.1063851996324956,0.9887042986229062,,0,8,0,0.10666666666666667,25,4,False,3,9,0.00666666666666671,0.6974595305607911,82.73195986000064
rm_spherical_shoulder_q02_rear_center,rm_spherical_shoulder,2,sobol,rear_center,0.0,320.85170789342374,385.5946764629334,0.0,,1.1063851996324956,0.9887042986229062,,0,15,3,0.23703703703703702,29,4,True,5,9,0.00196138474488719,0.32247478789590867,79.62455628099997
rm_spherical_shoulder_q02_rear_right,rm_spherical_shoulder,2,sobol,rear_right,0.0,320.85170789342374,385.5946764629334,0.0,,1.1063851996324956,0.9887042986229062,,0,7,1,0.10567901234567902,27,3,False,2,9,0.00666666666666671,0.0013732735178804134,69.78275660300096
rm_spherical_shoulder_q02_mid_left,rm_spherical_shoulder,2,sobol,mid_left,0.0,320.85170789342374,385.5946764629334,0.0,,1.1063851996324956,0.9887042986229062,,0,16,0,0.21333333333333335,20,3,False,0,9,0.04942230134596527,0.9467257695593465,77.03408018000118
rm_offset_shoulder_q00_rear_left,rm_offset_shoulder,0,baseline,rear_left,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,7,0,0.09333333333333334,24,4,True,6,9,0.00666666666666671,0.3655286727792486,77.8348918369993
rm_offset_shoulder_q00_rear_center,rm_offset_shoulder,0,baseline,rear_center,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,16,4,0.26271604938271603,29,4,True,7,9,-0.004917980673163028,0.5242026148768555,83.1761427170004
rm_offset_shoulder_q00_rear_right,rm_offset_shoulder,0,baseline,rear_right,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,10,1,0.145679012345679,27,2,False,0,9,-0.01932577436319087,0.005103952028522762,66.90052332599953
rm_offset_shoulder_q00_mid_left,rm_offset_shoulder,0,baseline,mid_left,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,14,0,0.18666666666666668,22,3,False,0,9,0.005695266085640416,0.6536273799810877,83.26837707699997
rm_offset_shoulder_q01_rear_left,rm_offset_shoulder,1,sobol,rear_left,53.98309876956045,328.9212819706793,413.84649296477437,0.0,0.8997183128260076,1.1106882502324877,1.0611448537558317,,1,12,0,0.1822222222222222,24,4,False,1,9,0.0027400089599690924,0.7210375306127113,77.54800432500087
rm_offset_shoulder_q01_rear_center,rm_offset_shoulder,1,sobol,rear_center,53.98309876956045,328.9212819706793,413.84649296477437,0.0,0.8997183128260076,1.1106882502324877,1.0611448537558317,,0,11,3,0.1837037037037037,26,4,False,2,9,-0.013189508227913815,0.0779507107151014,80.1940294699998
rm_offset_shoulder_q01_rear_right,rm_offset_shoulder,1,sobol,rear_right,53.98309876956045,328.9212819706793,413.84649296477437,0.0,0.8997183128260076,1.1106882502324877,1.0611448537558317,,0,6,0,0.08,20,3,False,0,9,-0.028487984853144604,0.08925151775844897,67.80263799900058
rm_offset_shoulder_q01_mid_left,rm_offset_shoulder,1,sobol,mid_left,53.98309876956045,328.9212819706793,413.84649296477437,0.0,0.8997183128260076,1.1106882502324877,1.0611448537558317,,0,15,1,0.2123456790123457,20,3,False,0,9,0.003149101904749124,1.0238715505822709,89.11706283700005
rm_offset_shoulder_q02_rear_left,rm_offset_shoulder,2,sobol,rear_left,65.28415513783692,256.62870887900795,387.113160607405,0.0,1.0880692522972821,0.8665735762566328,0.9925978477112949,,0,3,0,0.04,25,1,True,4,9,0.00666666666666671,0.030611662037996812,84.88467181700071
rm_offset_shoulder_q02_rear_center,rm_offset_shoulder,2,sobol,rear_center,65.28415513783692,256.62870887900795,387.113160607405,0.0,1.0880692522972821,0.8665735762566328,0.9925978477112949,,0,10,1,0.145679012345679,28,4,True,7,9,-0.00015126097024890234,0.5129294668168514,71.03768673000013
rm_offset_shoulder_q02_rear_right,rm_offset_shoulder,2,sobol,rear_right,65.28415513783692,256.62870887900795,387.113160607405,0.0,1.0880692522972821,0.8665735762566328,0.9925978477112949,,0,8,1,0.11901234567901235,25,3,False,0,9,-0.024260849947284155,0.050394098093120565,68.71507897399897
rm_offset_shoulder_q02_mid_left,rm_offset_shoulder,2,sobol,mid_left,65.28415513783692,256.62870887900795,387.113160607405,0.0,1.0880692522972821,0.8665735762566328,0.9925978477112949,,0,13,0,0.17333333333333334,24,4,False,1,9,0.00666666666666671,0.5616265486105054,81.55010836699876
