candidate_id,robot,sample_index,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
widowx250_q09_rear_center,widowx250,9,rear_center,198.1541470163777,177.01685552019626,72.13991114404052,59.70779944909737,0.7773736449889839,1.0115248886868358,0.9618654819205403,0.9185815299861133,1,1,0,0.035555555555555556,7,0,False,0,9,,,74.66495779398247
widowx250_q09_rear_right,widowx250,9,rear_right,198.1541470163777,177.01685552019626,72.13991114404052,59.70779944909737,0.7773736449889839,1.0115248886868358,0.9618654819205403,0.9185815299861133,4,4,1,0.1545679012345679,35,2,False,1,9,0.00666666666666671,0.7821278231808131,66.02812714999891
widowx250_q09_mid_left,widowx250,9,mid_left,198.1541470163777,177.01685552019626,72.13991114404052,59.70779944909737,0.7773736449889839,1.0115248886868358,0.9618654819205403,0.9185815299861133,0,0,0,0.0,8,0,False,0,9,,,78.26307192601962
widowx250_q10_rear_left,widowx250,10,rear_left,293.0339855921949,143.99246358079833,92.50419102609159,70.89486961252987,1.1495943986810744,0.822814077604562,1.233389213681221,1.0906903017312288,0,1,0,0.013333333333333334,8,0,False,0,9,,,76.30053527699783
widowx250_q10_rear_center,widowx250,10,rear_center,293.0339855921949,143.99246358079833,92.50419102609159,70.89486961252987,1.1495943986810744,0.822814077604562,1.233389213681221,1.0906903017312288,5,8,0,0.21777777777777776,31,1,True,8,9,0.00666666666666671,0.38869602199859754,69.50228257800336
widowx250_q10_rear_right,widowx250,10,rear_right,293.0339855921949,143.99246358079833,92.50419102609159,70.89486961252987,1.1495943986810744,0.822814077604562,1.233389213681221,1.0906903017312288,10,13,4,0.4449382716049383,43,5,True,9,9,0.00666666666666671,0.49235513426807587,67.67936676100362
widowx250_q10_mid_left,widowx250,10,mid_left,293.0339855921949,143.99246358079833,92.50419102609159,70.89486961252987,1.1495943986810744,0.822814077604562,1.233389213681221,1.0906903017312288,3,9,0,0.18666666666666668,22,0,True,9,9,0.00666666666666671,0.03538044593768097,72.87092100002337
widowx250_q11_rear_left,widowx250,11,rear_left,266.79903899138856,201.503133890219,57.60886286152528,52.06859414000065,1.0466727269813418,1.1514464793726802,0.7681181714870036,0.8010552944615483,0,1,0,0.013333333333333334,4,0,False,0,9,,,87.64883783998084
widowx250_q11_rear_center,widowx250,11,rear_center,266.79903899138856,201.503133890219,57.60886286152528,52.06859414000065,1.0466727269813418,1.1514464793726802,0.7681181714870036,0.8010552944615483,4,6,0,0.16888888888888887,27,0,True,6,9,0.00666666666666671,0.5319702555055335,70.26238298299722
widowx250_q11_rear_right,widowx250,11,rear_right,266.79903899138856,201.503133890219,57.60886286152528,52.06859414000065,1.0466727269813418,1.1514464793726802,0.7681181714870036,0.8010552944615483,10,13,2,0.4202469135802469,38,5,True,9,9,0.00666666666666671,0.5284016809995951,62.398454342997866
widowx250_q11_mid_left,widowx250,11,mid_left,266.79903899138856,201.503133890219,57.60886286152528,52.06859414000065,1.0466727269813418,1.1514464793726802,0.7681181714870036,0.8010552944615483,3,9,0,0.18666666666666668,21,0,True,8,9,0.00666666666666671,0.04802328284543478,71.63837255301769
widowx250_q12_rear_left,widowx250,12,rear_left,233.71443172171456,168.56335670454425,77.67427774379031,77.45594169246033,0.9168793205171824,0.9632191811688244,1.0356570365838706,1.1916298721916974,0,0,0,0.0,0,0,False,0,9,,,80.61428216798231
widowx250_q12_rear_center,widowx250,12,rear_center,233.71443172171456,168.56335670454425,77.67427774379031,77.45594169246033,0.9168793205171824,0.9632191811688244,1.0356570365838706,1.1916298721916974,1,3,0,0.062222222222222213,17,0,False,1,9,0.00666666666666671,0.7763574508278592,68.7753424780094
widowx250_q12_rear_right,widowx250,12,rear_right,233.71443172171456,168.56335670454425,77.67427774379031,77.45594169246033,0.9168793205171824,0.9632191811688244,1.0356570365838706,1.1916298721916974,6,8,1,0.25234567901234567,42,5,True,8,9,0.00666666666666671,0.47275942769077406,60.933950147998985
widowx250_q12_mid_left,widowx250,12,mid_left,233.71443172171456,168.56335670454425,77.67427774379031,77.45594169246033,0.9168793205171824,0.9632191811688244,1.0356570365838706,1.1916298721916974,1,2,0,0.04888888888888889,17,0,False,3,9,0.00666666666666671,0.06775674119286546,73.88154865900287
widowx250_q13_rear_left,widowx250,13,rear_left,243.18855969787688,211.68022404890507,84.75280097918586,76.3686829386279,0.9540470382198691,1.2096012802794576,1.1300373463891447,1.1749028144404292,1,1,0,0.035555555555555556,10,0,False,0,9,,,82.12140510400059
widowx250_q13_rear_center,widowx250,13,rear_center,243.18855969787688,211.68022404890507,84.75280097918586,76.3686829386279,0.9540470382198691,1.2096012802794576,1.1300373463891447,1.1749028144404292,6,10,2,0.291358024691358,36,3,True,9,9,0.00666666666666671,0.4447699564552199,72.77913312698365
widowx250_q13_rear_right,widowx250,13,rear_right,243.18855969787688,211.68022404890507,84.75280097918586,76.3686829386279,0.9540470382198691,1.2096012802794576,1.1300373463891447,1.1749028144404292,10,15,4,0.47160493827160493,43,5,True,9,9,0.00666666666666671,0.47950650336931355,64.37649635598063
widowx250_q13_mid_left,widowx250,13,mid_left,243.18855969787688,211.68022404890507,84.75280097918586,76.3686829386279,0.9540470382198691,1.2096012802794576,1.1300373463891447,1.1749028144404292,4,12,1,0.26123456790123456,26,0,True,9,9,0.00666666666666671,0.04287077113869442,67.19965555999079
widowx250_q14_rear_left,widowx250,14,rear_left,276.2720725717742,157.2074530064128,69.37131764134394,53.02795855561271,1.0838361512869596,0.8983283028937876,0.9249509018845856,0.8158147470094264,0,0,0,0.0,0,0,False,0,9,,,77.67557917701197
widowx250_q14_rear_center,widowx250,14,rear_center,276.2720725717742,157.2074530064128,69.37131764134394,53.02795855561271,1.0838361512869596,0.8983283028937876,0.9249509018845856,0.8158147470094264,4,2,0,0.11555555555555556,23,0,False,1,9,0.00666666666666671,0.8384542082097965,62.93770002599922
widowx250_q14_rear_right,widowx250,14,rear_right,276.2720725717742,157.2074530064128,69.37131764134394,53.02795855561271,1.0838361512869596,0.8983283028937876,0.9249509018845856,0.8158147470094264,8,11,2,0.3491358024691358,44,5,True,9,9,0.00666666666666671,0.5252876329392251,63.23009118399932
widowx250_q14_mid_left,widowx250,14,mid_left,276.2720725717742,157.2074530064128,69.37131764134394,53.02795855561271,1.0838361512869596,0.8983283028937876,0.9249509018845856,0.8158147470094264,2,5,0,0.11111111111111112,17,0,True,5,9,0.00666666666666671,0.05822365646082073,73.00743438702193
widowx250_q15_rear_left,widowx250,15,rear_left,311.4676075093262,187.0432100025937,80.81082771532239,67.79267148813233,1.2219108860008419,1.068818342871964,1.077477702870965,1.0429641767404974,1,3,0,0.062222222222222213,16,0,False,2,9,0.00666666666666671,0.6433948111278145,72.12925733800512
widowx250_q15_rear_center,widowx250,15,rear_center,311.4676075093262,187.0432100025937,80.81082771532239,67.79267148813233,1.2219108860008419,1.068818342871964,1.077477702870965,1.0429641767404974,8,13,2,0.37580246913580245,42,5,True,9,9,0.00666666666666671,0.29330194903772977,61.33644499198999
widowx250_q15_rear_right,widowx250,15,rear_right,311.4676075093262,187.0432100025937,80.81082771532239,67.79267148813233,1.2219108860008419,1.068818342871964,1.077477702870965,1.0429641767404974,11,20,6,0.5851851851851851,44,5,True,9,9,0.00666666666666671,0.4432372191280387,60.131986822001636
widowx250_q15_mid_left,widowx250,15,mid_left,311.4676075093262,187.0432100025937,80.81082771532239,67.79267148813233,1.2219108860008419,1.068818342871964,1.077477702870965,1.0429641767404974,9,17,2,0.45135802469135805,33,3,True,9,9,0.00666666666666671,0.027048771076870093,61.36334095799248
widowx250_q16_rear_left,widowx250,16,rear_left,216.5866745377323,132.48549042036757,65.13763193506749,62.68397791311145,0.8496858389116824,0.7570599452592432,0.868501759134233,0.9643688909709454,0,0,0,0.0,0,0,False,0,9,,,89.65172446300858
widowx250_q16_rear_center,widowx250,16,rear_center,216.5866745377323,132.48549042036757,65.13763193506749,62.68397791311145,0.8496858389116824,0.7570599452592432,0.868501759134233,0.9643688909709454,0,0,0,0.0,0,0,False,0,9,,,77.17090928400285
widowx250_q16_rear_right,widowx250,16,rear_right,216.5866745377323,132.48549042036757,65.13763193506749,62.68397791311145,0.8496858389116824,0.7570599452592432,0.868501759134233,0.9643688909709454,2,2,0,0.07111111111111111,19,0,False,0,9,,,68.87395780801307
widowx250_q16_mid_left,widowx250,16,mid_left,216.5866745377323,132.48549042036757,65.13763193506749,62.68397791311145,0.8496858389116824,0.7570599452592432,0.868501759134233,0.9643688909709454,0,0,0,0.0,3,0,False,0,9,,,88.16032287900453
piper_q00_rear_left,piper,0,rear_left,285.0312254403016,251.71383016433563,0.0,91.01102390507425,1.0,1.0,,1.0,4,0,0,0.08888888888888889,5,0,False,0,9,,,79.41709206299856
piper_q00_rear_center,piper,0,rear_center,285.0312254403016,251.71383016433563,0.0,91.01102390507425,1.0,1.0,,1.0,4,0,0,0.08888888888888889,11,1,False,0,9,,,78.06857138802297
piper_q00_rear_right,piper,0,rear_right,285.0312254403016,251.71383016433563,0.0,91.01102390507425,1.0,1.0,,1.0,0,0,0,0.0,19,2,False,0,9,,,79.97846900901641
piper_q00_mid_left,piper,0,mid_left,285.0312254403016,251.71383016433563,0.0,91.01102390507425,1.0,1.0,,1.0,10,0,0,0.2222222222222222,13,0,False,0,9,,,71.06259174400475
piper_q01_rear_left,piper,1,rear_left,237.39220513292824,298.15010253134886,0.0,100.28578348314802,0.8328638547100127,1.1844804170541465,,1.1019080895930529,4,0,0,0.08888888888888889,8,0,False,0,9,,,68.701313861995
piper_q01_rear_center,piper,1,rear_center,237.39220513292824,298.15010253134886,0.0,100.28578348314802,0.8328638547100127,1.1844804170541465,,1.1019080895930529,5,1,0,0.12444444444444443,16,2,False,0,9,,,69.13048747900757
piper_q01_rear_right,piper,1,rear_right,237.39220513292824,298.15010253134886,0.0,100.28578348314802,0.8328638547100127,1.1844804170541465,,1.1019080895930529,0,1,0,0.013333333333333334,18,3,False,0,9,,,80.13209132099291
piper_q01_mid_left,piper,1,mid_left,237.39220513292824,298.15010253134886,0.0,100.28578348314802,0.8328638547100127,1.1844804170541465,,1.1019080895930529,12,0,0,0.26666666666666666,15,1,False,0,9,,,64.27276210600394
piper_q02_rear_left,piper,2,rear_left,326.8687036168107,195.73836988838127,0.0,89.88822814024701,1.146782087162137,0.777622627094388,,0.9876630795188248,3,0,0,0.06666666666666667,2,0,False,0,9,,,66.98042677997728
piper_q02_rear_center,piper,2,rear_center,326.8687036168107,195.73836988838127,0.0,89.88822814024701,1.146782087162137,0.777622627094388,,0.9876630795188248,3,0,0,0.06666666666666667,12,1,False,0,9,,,64.28262114600511
piper_q02_rear_right,piper,2,rear_right,326.8687036168107,195.73836988838127,0.0,89.88822814024701,1.146782087162137,0.777622627094388,,0.9876630795188248,0,0,0,0.0,16,2,False,0,9,,,68.9311500939948
piper_q02_mid_left,piper,2,mid_left,326.8687036168107,195.73836988838127,0.0,89.88822814024701,1.146782087162137,0.777622627094388,,0.9876630795188248,9,0,0,0.19999999999999998,11,0,False,0,9,,,62.96667606700794
piper_q03_rear_left,piper,3,rear_left,288.7159286656166,280.35562330464455,0.0,103.57820754615284,1.012927366886288,1.1137871253304183,,1.1380841913633049,6,1,0,0.14666666666666667,8,0,False,0,9,,,71.49360911897384
piper_q03_rear_center,piper,3,rear_center,288.7159286656166,280.35562330464455,0.0,103.57820754615284,1.012927366886288,1.1137871253304183,,1.1380841913633049,3,0,0,0.06666666666666667,16,2,False,0,9,,,78.48153689800529
piper_q03_rear_right,piper,3,rear_right,288.7159286656166,280.35562330464455,0.0,103.57820754615284,1.012927366886288,1.1137871253304183,,1.1380841913633049,0,0,0,0.0,21,3,False,0,9,,,95.64255671997671
piper_q03_mid_left,piper,3,mid_left,288.7159286656166,280.35562330464455,0.0,103.57820754615284,1.012927366886288,1.1137871253304183,,1.1380841913633049,12,1,0,0.28,17,1,False,0,9,,,76.34346759397886
piper_q04_rear_left,piper,4,rear_left,271.57536995278963,240.93440190711556,0.0,70.24781576088495,0.9527916442602873,0.9571758601814508,,0.771860514767468,1,0,0,0.022222222222222223,1,0,False,0,9,,,81.98492403299315
piper_q04_rear_center,piper,4,rear_center,271.57536995278963,240.93440190711556,0.0,70.24781576088495,0.9527916442602873,0.9571758601814508,,0.771860514767468,4,1,0,0.10222222222222221,9,0,False,0,9,,,78.45316718801041
piper_q04_rear_right,piper,4,rear_right,271.57536995278963,240.93440190711556,0.0,70.24781576088495,0.9527916442602873,0.9571758601814508,,0.771860514767468,0,1,0,0.013333333333333334,18,2,False,0,9,,,79.38153366200277
piper_q04_mid_left,piper,4,mid_left,271.57536995278963,240.93440190711556,0.0,70.24781576088495,0.9527916442602873,0.9571758601814508,,0.771860514767468,9,0,0,0.19999999999999998,11,0,False,0,9,,,71.75165457400726
piper_q05_rear_left,piper,5,rear_left,254.5881787179247,256.22888147812716,0.0,80.23161090284918,0.8931939941830933,1.0179372397251427,,0.8815592601895332,2,0,0,0.044444444444444446,1,0,False,0,9,,,87.5929096690088
piper_q05_rear_center,piper,5,rear_center,254.5881787179247,256.22888147812716,0.0,80.23161090284918,0.8931939941830933,1.0179372397251427,,0.8815592601895332,6,1,0,0.14666666666666667,11,0,False,0,9,,,87.61639930598903
