candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
orth6r_39bf1ac80cbc_q13_rear_left,orth6r_39bf1ac80cbc,13,sobol,rear_left,273.93207472283393,447.70580917596817,0.0,60.79947022721171,0.9445933611132205,1.1479636132717133,,1.013324503786862,9,13,1,0.38567901234567903,46,5,True,9,9,0.00666666666666671,0.08431022389715759,111.35444478699355
orth6r_39bf1ac80cbc_q13_rear_center,orth6r_39bf1ac80cbc,13,sobol,rear_center,273.93207472283393,447.70580917596817,0.0,60.79947022721171,0.9445933611132205,1.1479636132717133,,1.013324503786862,8,13,5,0.41283950617283954,50,5,True,9,9,0.00666666666666671,0.4588227426868585,98.54958715500106
orth6r_39bf1ac80cbc_q13_rear_right,orth6r_39bf1ac80cbc,13,sobol,rear_right,273.93207472283393,447.70580917596817,0.0,60.79947022721171,0.9445933611132205,1.1479636132717133,,1.013324503786862,9,15,6,0.47407407407407404,50,6,True,9,9,0.00666666666666671,0.22069628494919713,82.28585196200584
orth6r_39bf1ac80cbc_q13_mid_left,orth6r_39bf1ac80cbc,13,sobol,mid_left,273.93207472283393,447.70580917596817,0.0,60.79947022721171,0.9445933611132205,1.1479636132717133,,1.013324503786862,9,15,7,0.48641975308641977,46,6,True,9,9,0.00666666666666671,0.5695227738119946,96.58972680199804
orth6r_39bf1ac80cbc_q14_rear_left,orth6r_39bf1ac80cbc,14,sobol,rear_left,347.09454212803394,326.39096022583544,0.0,56.05818310752511,1.196877731475979,0.8368998980149627,,0.9343030517920852,4,9,0,0.2088888888888889,30,3,True,9,9,0.004249100276391034,4.440892098500626e-16,133.07982175800134
orth6r_39bf1ac80cbc_q14_rear_center,orth6r_39bf1ac80cbc,14,sobol,rear_center,347.09454212803394,326.39096022583544,0.0,56.05818310752511,1.196877731475979,0.8368998980149627,,0.9343030517920852,10,13,3,0.4325925925925926,46,6,True,9,9,0.00666666666666671,0.14670497521288928,106.24171433500305
orth6r_39bf1ac80cbc_q14_rear_right,orth6r_39bf1ac80cbc,14,sobol,rear_right,347.09454212803394,326.39096022583544,0.0,56.05818310752511,1.196877731475979,0.8368998980149627,,0.9343030517920852,12,18,3,0.5437037037037037,49,6,True,9,9,0.00666666666666671,0.22069628494924598,102.23136602299928
orth6r_39bf1ac80cbc_q14_mid_left,orth6r_39bf1ac80cbc,14,sobol,mid_left,347.09454212803394,326.39096022583544,0.0,56.05818310752511,1.196877731475979,0.8368998980149627,,0.9343030517920852,10,13,2,0.4202469135802469,43,4,True,9,9,0.00666666666666671,0.2513308859965906,122.00501387400436
orth6r_39bf1ac80cbc_q15_rear_left,orth6r_39bf1ac80cbc,15,sobol,rear_left,306.97978094220156,419.19932747259736,0.0,73.64910126663744,1.0585509687662125,1.0748700704425573,,1.227485021110624,9,15,1,0.41234567901234565,48,5,True,9,9,0.00666666666666671,0.056431817939346374,116.93056346700178
orth6r_39bf1ac80cbc_q15_rear_center,orth6r_39bf1ac80cbc,15,sobol,rear_center,306.97978094220156,419.19932747259736,0.0,73.64910126663744,1.0585509687662125,1.0748700704425573,,1.227485021110624,10,14,5,0.4706172839506173,53,5,True,9,9,0.00666666666666671,0.4016252189424383,92.24727578299644
