candidate_id,robot,sample_index,span2_mm,span3_mm,span4_mm,span5_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,volume_l,clearance_mm,collision_free,rule_pass,evaluations,elapsed_s
orth6r_9cb821f00d15_q05,orth6r_9cb821f00d15,5,0.0,281.2325715413317,419.83658687677234,0.0,379.0452448273414,454.9998646504793,455.0,0.7583333333333334,377.4562185436741,444.86841695503796,260.0,78.4718184672459,12.53178617340812,True,True,3039,3.107816706004087
orth6r_9cb821f00d15_q06,orth6r_9cb821f00d15,6,0.0,318.99976370390505,357.21161185763776,0.0,436.1280378119705,458.451483593125,455.0,0.7640858059885417,402.00208468767715,333.451483593125,260.0,90.97431341701267,40.97109646430554,True,True,3230,4.436461227996915
orth6r_9cb821f00d15_q07,orth6r_9cb821f00d15,7,0.0,353.24433314148337,452.37116562668234,0.0,476.47009750807945,464.56593765513304,476.4716442933296,0.7941194071555493,460.3600555816624,441.59463872957326,281.4716442933296,105.46784544674318,18.976360359268973,True,True,2392,3.2936108159992727
orth6r_9cb821f00d15_q08,orth6r_9cb821f00d15,8,0.0,242.49042233917862,318.5835620574654,0.0,421.3492364031446,360.0000017938545,455.0,0.7583333333333334,364.71009326487194,331.5009336025803,260.0,69.01700526674195,13.115599920118125,True,True,2626,3.6128100930000073
orth6r_9cb821f00d15_q09,orth6r_9cb821f00d15,9,0.0,246.87464884947985,405.15859129372984,0.0,424.5221056041629,360.00118634723714,455.0,0.7583333333333334,418.7393054726215,358.8596495749706,260.0,69.53695004989721,40.35695158587295,True,True,2971,3.98923141600244
orth6r_9cb821f00d15_q10,orth6r_9cb821f00d15,10,0.0,353.6737997410819,365.7957644574345,0.0,455.47425329049554,455.47420988557883,463.3217658205248,0.772202943034208,402.79889876202003,330.47420988557883,268.3217658205248,96.11923962128733,5.000159739018101,True,True,2409,1.9010151219990803
orth6r_9cb821f00d15_q11,orth6r_9cb821f00d15,11,0.0,315.4560220660642,467.06703723873943,0.0,454.999299299272,429.53101175939025,455.0,0.7583333333333334,454.97153342098534,414.95333767159883,260.0,88.92352076691262,50.42700660470874,True,True,3053,4.2784194799969555
orth6r_9cb821f00d15_q12,orth6r_9cb821f00d15,12,0.0,280.52847318816924,309.9815334286541,0.0,451.51023587108074,379.9352962176524,455.0,0.7583333333333334,448.88852614392624,254.93529621765242,260.0,78.05282722099645,21.2201765711298,True,True,2645,2.8301186509997933
orth6r_9cb821f00d15_q13,orth6r_9cb821f00d15,13,0.0,257.31619840953493,443.7694787839428,0.0,436.6978341114915,369.5172436390002,455.0,0.7583333333333334,435.7401018484202,369.51692850081764,260.0,73.42215788361986,24.20857325152865,True,True,3390,4.291760327003431
orth6r_9cb821f00d15_q14,orth6r_9cb821f00d15,14,0.0,293.3931148285046,333.08857211843133,0.0,372.77477191635944,454.05294081492,456.99823333404083,0.7616637222234014,247.7747719163594,406.52791036955824,261.99823333404083,77.35128399779283,24.5434522615555,True,True,2630,2.4761341869962052
